"Year","Region Name","Pounds","Dollars","Collection","Metric Tons"
"1994","South Atlantic","618,614","938,907","Commercial","281"
"1994","South Atlantic","10,554,836","","Recreational","4,788"
"1994","Middle Atlantic","101,044","201,835","Commercial","46"
"1994","Middle Atlantic","1,400,635","","Recreational","635"
"1995","Gulf","1,177,325","1,576,576","Commercial","534"
"1995","Gulf","11,142,952","","Recreational","5,054"
"1995","New England","13,811","16,223","Commercial","6"
"1995","New England","24,061","","Recreational","11"
"1995","South Atlantic","1,164,608","1,728,592","Commercial","528"
"1995","South Atlantic","14,318,412","","Recreational","6,495"
"1995","Middle Atlantic","198,425","301,342","Commercial","90"
"1995","Middle Atlantic","1,096,473","","Recreational","497"
"1996","Gulf","1,047,020","1,404,999","Commercial","475"
"1996","Gulf","7,086,006","","Recreational","3,214"
"1996","New England","7,788","12,695","Commercial","4"
"1996","New England","","","Recreational",""
"1996","South Atlantic","548,682","878,691","Commercial","249"
"1996","South Atlantic","9,128,895","","Recreational","4,141"
"1996","Middle Atlantic","43,581","84,736","Commercial","20"
"1996","Middle Atlantic","1,077,364","","Recreational","489"
"1997","Gulf","989,648","1,024,070","Commercial","449"
"1997","Gulf","19,958,088","","Recreational","9,053"
"1997","New England","13,265","13,487","Commercial","6"
"1997","New England","","","Recreational",""
"1997","South Atlantic","877,303","1,203,956","Commercial","398"
"1997","South Atlantic","12,284,366","","Recreational","5,572"
"1997","Middle Atlantic","105,559","143,672","Commercial","48"
"1997","Middle Atlantic","1,422,057","","Recreational","645"
"1998","Gulf","422,501","572,981","Commercial","192"
"1998","Gulf","9,324,186","","Recreational","4,229"
"1998","New England","11,553","18,627","Commercial","5"
"1998","New England","120,322","","Recreational","55"
"1998","South Atlantic","406,368","644,166","Commercial","184"
"1998","South Atlantic","7,312,090","","Recreational","3,317"
"1998","Middle Atlantic","86,502","159,933","Commercial","39"
"1998","Middle Atlantic","2,920,384","","Recreational","1,325"
"1999","Gulf","612,445","816,023","Commercial","278"
"1999","Gulf","7,329,953","","Recreational","3,325"
"1999","New England","5,990","12,861","Commercial","3"
"1999","New England","4,458","","Recreational","2"
"1999","South Atlantic","504,263","844,590","Commercial","229"
"1999","South Atlantic","13,973,364","","Recreational","6,338"
"1999","Middle Atlantic","98,927","192,117","Commercial","45"
"1999","Middle Atlantic","1,005,852","","Recreational","456"
"2001","Gulf","368,503","376,396","Commercial","167"
"2001","Gulf","7,355,385","","Recreational","3,336"
"2001","New England","29,134","32,566","Commercial","13"
"2001","New England","5,189","","Recreational","2"
"2001","South Atlantic","470,897","621,537","Commercial","214"
"2001","South Atlantic","14,945,284","","Recreational","6,779"
"2001","Middle Atlantic","51,342","56,530","Commercial","23"
"2001","Middle Atlantic","477,081","","Recreational","216"
"2002","Gulf","290,601","319,266","Commercial","132"
"2002","Gulf","3,513,226","","Recreational","1,594"
"2002","New England","14,836","20,177","Commercial","7"
"2002","New England","600,948","","Recreational","273"
"2002","South Atlantic","436,472","619,699","Commercial","198"
"2002","South Atlantic","13,794,853","","Recreational","6,257"
"2002","Middle Atlantic","83,534","139,077","Commercial","38"
