"JURISDICTION","AREA","SCIENTIFIC_NAME","YEAR","Landings_Tonnes"
"Guadeloupe","31","Coryphaena hippurus",1973,500
"Martinique","31","Coryphaena hippurus",1973,300
"Mexico","31","Coryphaena hippurus",1973,0
"Other NEI","31","Coryphaena hippurus",1973,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1973,0
"United States of America","31","Coryphaena hippurus",1973,0
"Canada","21","Coryphaena hippurus",1972,0
"Spain","21","Coryphaena hippurus",1972,0
"United States of America","21","Coryphaena hippurus",1972,0
"Barbados","31","Coryphaena hippurus",1972,500
"Belize","31","Coryphaena hippurus",1972,0
"Bermuda","31","Coryphaena hippurus",1972,0
"Costa Rica","31","Coryphaena hippurus",1972,0
"Cuba","31","Coryphaena hippurus",1972,0
"Dominican Republic","31","Coryphaena hippurus",1972,100
"France","31","Coryphaena hippurus",1972,0
"Grenada","31","Coryphaena hippurus",1972,0
"Guadeloupe","31","Coryphaena hippurus",1972,500
"Martinique","31","Coryphaena hippurus",1972,600
"Mexico","31","Coryphaena hippurus",1972,0
"Other NEI","31","Coryphaena hippurus",1972,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1972,0
"United States of America","31","Coryphaena hippurus",1972,0
"Canada","21","Coryphaena hippurus",1971,0
"Spain","21","Coryphaena hippurus",1971,0
"United States of America","21","Coryphaena hippurus",1971,0
"Barbados","31","Coryphaena hippurus",1971,500
"Belize","31","Coryphaena hippurus",1971,0
"Bermuda","31","Coryphaena hippurus",1971,0
"Costa Rica","31","Coryphaena hippurus",1971,0
"Cuba","31","Coryphaena hippurus",1971,0
"Dominican Republic","31","Coryphaena hippurus",1971,100
"France","31","Coryphaena hippurus",1971,0
"Grenada","31","Coryphaena hippurus",1971,0
"Guadeloupe","31","Coryphaena hippurus",1971,500
"Martinique","31","Coryphaena hippurus",1971,700
"Mexico","31","Coryphaena hippurus",1971,0
"Other NEI","31","Coryphaena hippurus",1971,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1971,0
"United States of America","31","Coryphaena hippurus",1971,0
"Canada","21","Coryphaena hippurus",1970,0
"Spain","21","Coryphaena hippurus",1970,0
"United States of America","21","Coryphaena hippurus",1970,0
"Barbados","31","Coryphaena hippurus",1970,500
"Belize","31","Coryphaena hippurus",1970,0
"Bermuda","31","Coryphaena hippurus",1970,0
"Costa Rica","31","Coryphaena hippurus",1970,0
"Cuba","31","Coryphaena hippurus",1970,0
"Dominican Republic","31","Coryphaena hippurus",1970,100
"France","31","Coryphaena hippurus",1970,0
"Grenada","31","Coryphaena hippurus",1970,0
"Guadeloupe","31","Coryphaena hippurus",1970,500
"Martinique","31","Coryphaena hippurus",1970,600
"Mexico","31","Coryphaena hippurus",1970,0
"Other NEI","31","Coryphaena hippurus",1970,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1970,0
"United States of America","31","Coryphaena hippurus",1970,0
"Canada","21","Coryphaena hippurus",1969,0
"Spain","21","Coryphaena hippurus",1969,0
"United States of America","21","Coryphaena hippurus",1969,0
"Barbados","31","Coryphaena hippurus",1969,600
"Belize","31","Coryphaena hippurus",1969,0
"Bermuda","31","Coryphaena hippurus",1969,0
"Costa Rica","31","Coryphaena hippurus",1969,0
"Dominican Republic","31","Coryphaena hippurus",1969,100
"France","31","Coryphaena hippurus",1969,0
"Grenada","31","Coryphaena hippurus",1969,0
"Guadeloupe","31","Coryphaena hippurus",1969,500
"Martinique","31","Coryphaena hippurus",1969,600
"Mexico","31","Coryphaena hippurus",1969,0
"Other NEI","31","Coryphaena hippurus",1969,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1969,0
"United States of America","31","Coryphaena hippurus",1969,28
"Canada","21","Coryphaena hippurus",1968,0
"Spain","21","Coryphaena hippurus",1968,0
"United States of America","21","Coryphaena hippurus",1968,0
"Barbados","31","Coryphaena hippurus",1968,700
"Belize","31","Coryphaena hippurus",1968,0
"Bermuda","31","Coryphaena hippurus",1968,0
"Costa Rica","31","Coryphaena hippurus",1968,0
"Dominican Republic","31","Coryphaena hippurus",1968,100
"France","31","Coryphaena hippurus",1968,0
"Grenada","31","Coryphaena hippurus",1968,0
"Guadeloupe","31","Coryphaena hippurus",1968,300
"Martinique","31","Coryphaena hippurus",1968,600
"Mexico","31","Coryphaena hippurus",1968,0
"Other NEI","31","Coryphaena hippurus",1968,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1968,0
"United States of America","31","Coryphaena hippurus",1968,44
"Canada","21","Coryphaena hippurus",1967,0
"Spain","21","Coryphaena hippurus",1967,0
"United States of America","21","Coryphaena hippurus",1967,0
"Barbados","31","Coryphaena hippurus",1967,1000
"Belize","31","Coryphaena hippurus",1967,0
"Bermuda","31","Coryphaena hippurus",1967,0
"Costa Rica","31","Coryphaena hippurus",1967,0
"Dominican Republic","31","Coryphaena hippurus",1967,100
"France","31","Coryphaena hippurus",1967,0
"Grenada","31","Coryphaena hippurus",1967,0
"Guadeloupe","31","Coryphaena hippurus",1967,300
"Martinique","31","Coryphaena hippurus",1967,600
"Mexico","31","Coryphaena hippurus",1967,0
"Other NEI","31","Coryphaena hippurus",1967,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1967,0
"United States of America","31","Coryphaena hippurus",1967,86
"Canada","21","Coryphaena hippurus",1966,0
"Spain","21","Coryphaena hippurus",1966,0
"United States of America","21","Coryphaena hippurus",1966,0
"Barbados","31","Coryphaena hippurus",1966,1100
"Belize","31","Coryphaena hippurus",1966,0
"Bermuda","31","Coryphaena hippurus",1966,0
"Costa Rica","31","Coryphaena hippurus",1966,0
"France","31","Coryphaena hippurus",1966,0
"Grenada","31","Coryphaena hippurus",1966,0
"Guadeloupe","31","Coryphaena hippurus",1966,200
"Martinique","31","Coryphaena hippurus",1966,300
"Mexico","31","Coryphaena hippurus",1966,0
"Other NEI","31","Coryphaena hippurus",1966,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1966,0
"United States of America","31","Coryphaena hippurus",1966,35
"Canada","21","Coryphaena hippurus",1965,0
"Spain","21","Coryphaena hippurus",1965,0
"United States of America","21","Coryphaena hippurus",1965,0
"Barbados","31","Coryphaena hippurus",1965,600
"Belize","31","Coryphaena hippurus",1965,0
"Bermuda","31","Coryphaena hippurus",1965,0
"Costa Rica","31","Coryphaena hippurus",1965,0
"France","31","Coryphaena hippurus",1965,0
"Grenada","31","Coryphaena hippurus",1965,0
"Guadeloupe","31","Coryphaena hippurus",1965,200
"Martinique","31","Coryphaena hippurus",1965,300
"Mexico","31","Coryphaena hippurus",1965,0
"Other NEI","31","Coryphaena hippurus",1965,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1965,0
"United States of America","31","Coryphaena hippurus",1965,15
"Canada","21","Coryphaena hippurus",1964,0
"Spain","21","Coryphaena hippurus",1964,0
"United States of America","21","Coryphaena hippurus",1964,0
"Barbados","31","Coryphaena hippurus",1964,500
"Belize","31","Coryphaena hippurus",1964,0
"Bermuda","31","Coryphaena hippurus",1964,0
"Costa Rica","31","Coryphaena hippurus",1964,0
"France","31","Coryphaena hippurus",1964,0
"Grenada","31","Coryphaena hippurus",1964,0
"Guadeloupe","31","Coryphaena hippurus",1964,500
"Martinique","31","Coryphaena hippurus",1964,200
"Mexico","31","Coryphaena hippurus",1964,0
"Other NEI","31","Coryphaena hippurus",1964,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1964,0
"United States of America","31","Coryphaena hippurus",1964,13
"Canada","21","Coryphaena hippurus",1963,0
"Spain","21","Coryphaena hippurus",1963,0
"United States of America","21","Coryphaena hippurus",1963,0
"Barbados","31","Coryphaena hippurus",1963,600
"Belize","31","Coryphaena hippurus",1963,0
"Bermuda","31","Coryphaena hippurus",1963,0
"Costa Rica","31","Coryphaena hippurus",1963,0
"France","31","Coryphaena hippurus",1963,0
"Guadeloupe","31","Coryphaena hippurus",1963,500
"Martinique","31","Coryphaena hippurus",1963,100
"Other NEI","31","Coryphaena hippurus",1963,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1963,0
"United States of America","31","Coryphaena hippurus",1963,4
"Canada","21","Coryphaena hippurus",1962,0
"Spain","21","Coryphaena hippurus",1962,0
"United States of America","21","Coryphaena hippurus",1962,0
"Barbados","31","Coryphaena hippurus",1962,1000
"Belize","31","Coryphaena hippurus",1962,0
"Bermuda","31","Coryphaena hippurus",1962,0
"Costa Rica","31","Coryphaena hippurus",1962,0
"France","31","Coryphaena hippurus",1962,0
"Guadeloupe","31","Coryphaena hippurus",1962,400
"Martinique","31","Coryphaena hippurus",1962,100
"Other NEI","31","Coryphaena hippurus",1962,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1962,0
"United States of America","31","Coryphaena hippurus",1962,11
"Canada","21","Coryphaena hippurus",1961,0
"Spain","21","Coryphaena hippurus",1961,0
"United States of America","21","Coryphaena hippurus",1961,0
"Barbados","31","Coryphaena hippurus",1961,1000
"Belize","31","Coryphaena hippurus",1961,0
"Bermuda","31","Coryphaena hippurus",1961,0
"Costa Rica","31","Coryphaena hippurus",1961,0
"France","31","Coryphaena hippurus",1961,0
"Guadeloupe","31","Coryphaena hippurus",1961,400
"Martinique","31","Coryphaena hippurus",1961,500
"Other NEI","31","Coryphaena hippurus",1961,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1961,0
"United States of America","31","Coryphaena hippurus",1961,14
"Canada","21","Coryphaena hippurus",1960,0
"Spain","21","Coryphaena hippurus",1960,0
"United States of America","21","Coryphaena hippurus",1960,0
"Barbados","31","Coryphaena hippurus",1960,1100
"Belize","31","Coryphaena hippurus",1960,0
"Bermuda","31","Coryphaena hippurus",1960,0
"Costa Rica","31","Coryphaena hippurus",1960,0
"France","31","Coryphaena hippurus",1960,0
"Guadeloupe","31","Coryphaena hippurus",1960,400
"Martinique","31","Coryphaena hippurus",1960,200
"Other NEI","31","Coryphaena hippurus",1960,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1960,0
"United States of America","31","Coryphaena hippurus",1960,6
"Canada","21","Coryphaena hippurus",1959,0
"Spain","21","Coryphaena hippurus",1959,0
"United States of America","21","Coryphaena hippurus",1959,0
"Barbados","31","Coryphaena hippurus",1959,1000
"Belize","31","Coryphaena hippurus",1959,0
"Bermuda","31","Coryphaena hippurus",1959,0
"Costa Rica","31","Coryphaena hippurus",1959,0
"France","31","Coryphaena hippurus",1959,0
"Guadeloupe","31","Coryphaena hippurus",1959,400
"Martinique","31","Coryphaena hippurus",1959,400
"Other NEI","31","Coryphaena hippurus",1959,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1959,0
"United States of America","31","Coryphaena hippurus",1959,8
"Canada","21","Coryphaena hippurus",1958,0
"Spain","21","Coryphaena hippurus",1958,0
"United States of America","21","Coryphaena hippurus",1958,0
"Barbados","31","Coryphaena hippurus",1958,1000
"Belize","31","Coryphaena hippurus",1958,0
"Bermuda","31","Coryphaena hippurus",1958,0
"Costa Rica","31","Coryphaena hippurus",1958,0
"France","31","Coryphaena hippurus",1958,0
"Guadeloupe","31","Coryphaena hippurus",1958,500
"Martinique","31","Coryphaena hippurus",1958,200
"Other NEI","31","Coryphaena hippurus",1958,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1958,0
"United States of America","31","Coryphaena hippurus",1958,7
"Canada","21","Coryphaena hippurus",1957,0
"Spain","21","Coryphaena hippurus",1957,0
"United States of America","21","Coryphaena hippurus",1957,0
"Barbados","31","Coryphaena hippurus",1957,900
"Belize","31","Coryphaena hippurus",1957,0
"Bermuda","31","Coryphaena hippurus",1957,0
"Costa Rica","31","Coryphaena hippurus",1957,0
"France","31","Coryphaena hippurus",1957,0
"Guadeloupe","31","Coryphaena hippurus",1957,400
"Martinique","31","Coryphaena hippurus",1957,200
"Other NEI","31","Coryphaena hippurus",1957,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1957,0
"United States of America","31","Coryphaena hippurus",1957,9
"Canada","21","Coryphaena hippurus",1956,0
"Spain","21","Coryphaena hippurus",1956,0
"United States of America","21","Coryphaena hippurus",1956,0
"Barbados","31","Coryphaena hippurus",1956,700
"Belize","31","Coryphaena hippurus",1956,0
"Bermuda","31","Coryphaena hippurus",1956,0
"Costa Rica","31","Coryphaena hippurus",1956,0
"France","31","Coryphaena hippurus",1956,0
"Guadeloupe","31","Coryphaena hippurus",1956,300
"Martinique","31","Coryphaena hippurus",1956,300
"Other NEI","31","Coryphaena hippurus",1956,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1956,0
"United States of America","31","Coryphaena hippurus",1956,4
"Canada","21","Coryphaena hippurus",1955,0
"Spain","21","Coryphaena hippurus",1955,0
"United States of America","21","Coryphaena hippurus",1955,0
"Barbados","31","Coryphaena hippurus",1955,600
"Belize","31","Coryphaena hippurus",1955,0
"Bermuda","31","Coryphaena hippurus",1955,0
"Costa Rica","31","Coryphaena hippurus",1955,0
"France","31","Coryphaena hippurus",1955,0
"Guadeloupe","31","Coryphaena hippurus",1955,300
"Martinique","31","Coryphaena hippurus",1955,200
"Other NEI","31","Coryphaena hippurus",1955,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1955,0
"United States of America","31","Coryphaena hippurus",1955,5
"Canada","21","Coryphaena hippurus",1954,0
"Spain","21","Coryphaena hippurus",1954,0
"United States of America","21","Coryphaena hippurus",1954,0
"Barbados","31","Coryphaena hippurus",1954,600
"Belize","31","Coryphaena hippurus",1954,0
"Bermuda","31","Coryphaena hippurus",1954,0
"Costa Rica","31","Coryphaena hippurus",1954,0
"France","31","Coryphaena hippurus",1954,0
"Guadeloupe","31","Coryphaena hippurus",1954,300
"Martinique","31","Coryphaena hippurus",1954,200
"Other NEI","31","Coryphaena hippurus",1954,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1954,0
"United States of America","31","Coryphaena hippurus",1954,14
"Canada","21","Coryphaena hippurus",1953,0
"Spain","21","Coryphaena hippurus",1953,0
"United States of America","21","Coryphaena hippurus",1953,0
"Barbados","31","Coryphaena hippurus",1953,800
"Belize","31","Coryphaena hippurus",1953,0
"Bermuda","31","Coryphaena hippurus",1953,0
"Costa Rica","31","Coryphaena hippurus",1953,0
"France","31","Coryphaena hippurus",1953,0
"Guadeloupe","31","Coryphaena hippurus",1953,300
"Martinique","31","Coryphaena hippurus",1953,200
"Other NEI","31","Coryphaena hippurus",1953,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1953,0
"United States of America","31","Coryphaena hippurus",1953,13
"Canada","21","Coryphaena hippurus",1952,0
"Spain","21","Coryphaena hippurus",1952,0
"United States of America","21","Coryphaena hippurus",1952,0
"Barbados","31","Coryphaena hippurus",1952,1000
"Belize","31","Coryphaena hippurus",1952,0
"Bermuda","31","Coryphaena hippurus",1952,0
"Costa Rica","31","Coryphaena hippurus",1952,0
"France","31","Coryphaena hippurus",1952,0
"Guadeloupe","31","Coryphaena hippurus",1952,200
"Martinique","31","Coryphaena hippurus",1952,100
"Other NEI","31","Coryphaena hippurus",1952,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1952,0
"United States of America","31","Coryphaena hippurus",1952,12
"Canada","21","Coryphaena hippurus",1951,0
"Spain","21","Coryphaena hippurus",1951,0
"United States of America","21","Coryphaena hippurus",1951,0
"Barbados","31","Coryphaena hippurus",1951,700
"Belize","31","Coryphaena hippurus",1951,0
"Bermuda","31","Coryphaena hippurus",1951,0
"Costa Rica","31","Coryphaena hippurus",1951,0
"France","31","Coryphaena hippurus",1951,0
"Guadeloupe","31","Coryphaena hippurus",1951,200
"Martinique","31","Coryphaena hippurus",1951,100
"Other NEI","31","Coryphaena hippurus",1951,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1951,0
"United States of America","31","Coryphaena hippurus",1951,12
"Canada","21","Coryphaena hippurus",1950,0
"Spain","21","Coryphaena hippurus",1950,0
"United States of America","21","Coryphaena hippurus",1950,0
"Barbados","31","Coryphaena hippurus",1950,700
"Belize","31","Coryphaena hippurus",1950,0
"Bermuda","31","Coryphaena hippurus",1950,0
"Costa Rica","31","Coryphaena hippurus",1950,0
"France","31","Coryphaena hippurus",1950,0
"Guadeloupe","31","Coryphaena hippurus",1950,200
"Martinique","31","Coryphaena hippurus",1950,100
"Other NEI","31","Coryphaena hippurus",1950,0
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",1950,0
"United States of America","31","Coryphaena hippurus",1950,3
