"","Year","index","SE","predpos","Npres","nominal"
"1987",1987,1.15039653608748,0.219302874154359,0.231760180547036,4.96373679625265,2.2165591381699
"1988",1988,0.831873495372206,0.163961837520278,0.186798129627897,4.45332882630732,1.36848221152416
"1989",1989,2.40262911586673,0.391583955361875,0.319891420008312,7.51076448316215,4.75263601930542
"1990",1990,3.27549023775818,0.450153143686929,0.465887774501429,7.03064217828736,5.09135315595861
"1991",1991,1.9430017488733,0.325735863219819,0.317790569373957,6.11409505543536,3.60514615723376
"1992",1992,3.86133130859637,0.515071535153258,0.493518224129666,7.82409062077888,5.900641778007
"1993",1993,2.90844457678454,0.448894254892412,0.451833010208656,6.43699001859432,4.19761008297227
"1994",1994,3.05688216854461,0.432832118562071,0.51242087765615,5.96556912850041,4.01059957830657
"1995",1995,4.58584040497318,0.653745185262809,0.46395555720422,9.88422346443545,7.06255603663125
"1996",1996,2.84037417087742,0.467668011388823,0.454781268100116,6.24558303103227,4.48847676220459
"1997",1997,1.79065338758406,0.303144099527464,0.311838256934459,5.74225050251103,2.93482025373063
"1998",1998,2.08916517858033,0.348560973399258,0.386922621065113,5.39943922851891,2.80225649756937
"1999",1999,2.29505616727586,0.40401736408792,0.437167107098522,5.24983725904757,3.3895779623347
"2000",2000,3.09253771497364,0.545503574310577,0.468735654459495,6.59761570418551,4.51708454035562
"2001",2001,2.86839403436944,0.408652571718059,0.515579019575005,5.56344212131415,3.76578844894113
"2002",2002,5.40975133559253,0.754003795087115,0.610787378661022,8.85701231654766,7.54056636519797
"2003",2003,3.42142964534253,0.42054039699004,0.670470670513118,5.10302656896845,4.04874580648384
"2004",2004,6.64848645935379,0.711805745106987,0.791460528239211,8.40027546812082,7.91029037717131
"2005",2005,0.568155366314005,0.185155613058093,0.204479460930766,2.77854491462286,0.987001009710645
"2006",2006,0.693689950013419,0.241421549448077,0.279740637977264,2.47976109237943,0.944857307161433
"2007",2007,1.57506679451983,1.30406816186711,0.290214759573494,5.42724566053975,3.18265411147943
"2008",2008,0.62348677132638,0.213960671548595,0.229723961521129,2.7140693865713,1.00073571059058
"2009",2009,1.92253769647817,0.547884629542608,0.539297216047421,3.56489453175505,2.61943105458819
"2010",2010,0.760423285722772,0.328649527315977,0.364948930197433,2.08364300536898,0.909447193897322
"2012",2012,2.30253182729662,0.976285664612647,0.823290135944574,2.79674409636269,2.61904761904762
"2013",2013,0.8435486979293,1.22817274103777,0.302397533495563,2.78953564263009,1
"2014",2014,3.24038396137033,0.771615735810129,0.623556707835714,5.19661471146272,3.41738076336353
"2015",2015,8.98315831716662,2.29666248493024,0.7780474033585,11.5457725048502,10.3054806820287
"2017",2017,0.666460230462708,0.193032042112823,0.224076430353181,2.9742540498894,0.994334515885091
"2018",2018,1.50739974437527,0.546501370100401,0.664681197841266,2.26785374593258,0.929817827552705
"2019",2019,2.31779416453789,0.777369904152424,0.828146071630141,2.79877456880945,2.07650544903687
"2020",2020,0.806627710512656,0.320683669385337,0.414469905274776,1.94616714083956,0.546340906256963
"2021",2021,0.299746954150414,0.208462227218464,0.24378204189361,1.22956946222162,0.24311193074363
"2022",2022,0.643173308148511,0.348603751647137,0.327279539338639,1.96521086972997,0.371990254394004
"2023",2023,0.460956795993924,0.418515013180796,0.286663974710255,1.60800392326882,0.154599011782592
