area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Southeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Angola",Industrial,Discards,Unreported,unknown by source,,0.0019315294
"Atlantic, Southeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,gillnet,,0.0122535089
"Atlantic, Southeast",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0106367265,0.0015540681207253985
"Atlantic, Southeast",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0358289735,0.005234755775075017
"Atlantic, Southeast",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,gillnet,Direct human consumption,1.3564625447,0.19818458192198085
"Atlantic, Southeast",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0095170711,0.0013904820027542994
"Atlantic, Southeast",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.0587819097,0.00858827119348243
"Atlantic, Southeast",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,1.5509487990,0.24351647941056395
"Atlantic, Southeast",high_seas,1950,"Auxis thazard","Frigate tuna","Medium pelagics (30 - 89 cm)","Tuna & billfishes","Angola",Industrial,Landings,Reported,mixed gear,Direct human consumption,4.0281574419,1304.8545731506856
"Atlantic, Southeast",high_seas,1950,"Auxis thazard","Frigate tuna","Medium pelagics (30 - 89 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,0.6107263051,473.3431903775401
"Atlantic, Southeast",high_seas,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","Angola",Industrial,Landings,Reported,mixed gear,Direct human consumption,0.4226898965,230.49995422704572
"Atlantic, Southeast",high_seas,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0045842747,5.374369773774211
"Atlantic, Southeast",high_seas,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0051573091,6.046165995495988
"Atlantic, Southeast",high_seas,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0108876525,12.764128212713812
"Atlantic, Southeast",high_seas,1950,"Thunnus albacares","Yellowfin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Angola",Industrial,Landings,Reported,pole and line,Direct human consumption,1.3207751913,0.12775109282058078
"Atlantic, Southeast",high_seas,1950,"Thunnus albacares","Yellowfin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Angola",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0269545957,0.0026071651596036934
"Atlantic, Southeast",high_seas,1950,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Angola",Industrial,Landings,Reported,unknown by source,Direct human consumption,0.1122226028,455.1516867474884
"Atlantic, Southeast",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Angola",Industrial,Discards,Unreported,unknown by source,,0.0038630587
"Atlantic, Southeast",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Israel",Industrial,Discards,Unreported,unknown by source,,0.0077008219
"Atlantic, Southeast",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,gillnet,,0.0140045479
"Atlantic, Southeast",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0017449519,0.0003819325526576029
"Atlantic, Southeast",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0418788462,0.009166381263782487
"Atlantic, Southeast",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,gillnet,Direct human consumption,1.5560608802,0.3405883538324178
