area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Northwest",high_seas,1950,"Cyclopterus lumpus","Lumpfish","Medium benthopelagics (30 - 89 cm)","Scorpionfishes","Spain",Industrial,Discards,Unreported,bottom trawl,,34.7489889000
"Atlantic, Northwest",high_seas,1950,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Germany",Industrial,Discards,Unreported,bottom trawl,,0.6526930010
"Atlantic, Northwest",high_seas,1950,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Portugal",Industrial,Discards,Unreported,bottom trawl,,0.4027732670
"Atlantic, Northwest",high_seas,1950,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Portugal",Industrial,Landings,Reported,bottom trawl,Direct human consumption,6.6342245036,4426.253529017316
"Atlantic, Northwest",high_seas,1950,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Portugal",Industrial,Landings,Reported,bottom trawl,Other,0.0066408654,0.03428754967381348
"Atlantic, Northwest",high_seas,1950,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Spain",Industrial,Discards,Unreported,bottom trawl,,23.5499648200
"Atlantic, Northwest",high_seas,1950,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Direct human consumption,367.6061588670,233738.59756539617
"Atlantic, Northwest",high_seas,1950,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.1839870665,0.7364207188445956
"Atlantic, Northwest",high_seas,1950,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Other,0.1839870665,0.7364207188445956
"Atlantic, Northwest",high_seas,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,hand lines,Direct human consumption,0.0292023886,34.23539025022855
"Atlantic, Northwest",high_seas,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0000080190,0.009401031898621024
"Atlantic, Northwest",high_seas,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0000090213,0.010576160885948654
"Atlantic, Northwest",high_seas,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0000190451,0.022327450759224952
"Atlantic, Northwest",high_seas,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0000600897,0.12477240428818957
"Atlantic, Northwest",high_seas,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,pole and line,Direct human consumption,0.0003262011,0.6773359089930291
"Atlantic, Northwest",high_seas,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,hand lines,Direct human consumption,1.7248828308,3581.6097802008503
"Atlantic, Northwest",high_seas,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0000085842,0.0178246291840271
"Atlantic, Northwest",high_seas,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0000171685,0.03564925836805416
"Atlantic, Northwest",high_seas,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0029701469,6.1673216976733745
"Atlantic, Northwest",high_seas,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,artisanal fishing gear,Direct human consumption,2.2270639081,4624.356931398546
"Atlantic, Northwest",high_seas,1950,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Canada",Industrial,Landings,Reported,artisanal fishing gear,Direct human consumption,509.8846343221,3817243.301505653
"Atlantic, Northwest",high_seas,1950,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,artisanal fishing gear,Direct human consumption,78.7457650049,686611.4155896152
"Atlantic, Northwest",high_seas,1950,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Germany",Industrial,Discards,Unreported,bottom trawl,,0.2152300910
"Atlantic, Northwest",high_seas,1950,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Portugal",Industrial,Discards,Unreported,bottom trawl,,0.1328173070
"Atlantic, Northwest",high_seas,1950,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Spain",Industrial,Discards,Unreported,bottom trawl,,7.7657659410
"Atlantic, Northwest",high_seas,1950,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Direct human consumption,17.3947284394,15305.970812161155
"Atlantic, Northwest",high_seas,1950,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0087060703,0.020380296004800368
