area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Other,0.0016637107,1.9329589784157738e-05
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,27.5268144419,50568.63565128267
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,small scale pots or traps,Other,0.2162581646,0.001185144481478863
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Landings,Reported,gillnet,Other,0.0205953260,0.0001128671236433163
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Landings,Reported,purse seine,Other,0.0599520638,0.00032855109848092633
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,small scale lines,Other,0.3989879316,0.002186545632495872
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,artisanal fishing gear,Other,0.3436660756,0.0018833691372338454
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Landings,Reported,pelagic trawl,Other,0.0699310148,0.0003832380455048852
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,small scale gillnets,Other,0.4174285503,0.002287604464249999
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,purse seine,Other,0.0151940926,0.0001765304373144169
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Discards,Unreported,gillnet,,0.2059532602
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Discards,Unreported,pelagic trawl,,0.6993101480
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Discards,Unreported,purse seine,,0.5995206378
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Fishmeal and fish oil,0.0016637107,1.9329589784157738e-05
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0151940926,0.0001765304373144169
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0599520638,0.00032855109848092633
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,small scale lines,Fishmeal and fish oil,0.3989879316,0.002186545632495872
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,small scale pots or traps,Fishmeal and fish oil,0.2162581646,0.001185144481478863
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.4174285503,0.002287604464249999
