area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Western Central",high_seas,1980,"Makaira nigricans","Blue marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Bermuda (UK)",Industrial,Landings,Reported,pole and line,Direct human consumption,0.9186017994,5455.4557498516915
"Atlantic, Western Central",high_seas,1980,"Makaira nigricans","Blue marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,95.7405438295,349911.77366362227
"Atlantic, Western Central",high_seas,1980,"Makaira nigricans","Blue marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Cuba",Industrial,Landings,Reported,longline,Direct human consumption,0.9832775979,2853.545334861492
"Atlantic, Western Central",high_seas,1980,"Makaira nigricans","Blue marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,15.7519314761,53244.269225203236
"Atlantic, Western Central",high_seas,1980,"Makaira nigricans","Blue marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,pole and line,Direct human consumption,0.1814844336,937.82498465668
"Atlantic, Western Central",high_seas,1980,"Makaira nigricans","Blue marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,longline,Direct human consumption,25.8660176411,133663.24107879156
"Atlantic, Western Central",high_seas,1980,"Kajikia albida","Atlantic white marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,38.6336631334,194320.1396995214
"Atlantic, Western Central",high_seas,1980,"Kajikia albida","Atlantic white marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Cuba",Industrial,Landings,Reported,longline,Direct human consumption,0.9912562907,3958.987420786697
"Atlantic, Western Central",high_seas,1980,"Kajikia albida","Atlantic white marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,3.7109259356,17262.77471922493
"Atlantic, Western Central",high_seas,1980,"Kajikia albida","Atlantic white marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,pole and line,Direct human consumption,0.2713799243,1929.965009168903
"Atlantic, Western Central",high_seas,1980,"Kajikia albida","Atlantic white marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,longline,Direct human consumption,36.0162303467,256135.61690191
"Atlantic, Western Central",high_seas,1980,"Tetrapturus pfluegeri","Longbill spearfish","Large pelagics (>=90 cm)","Tuna & billfishes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,4.0398853812,20319.872048899302
"Atlantic, Western Central",high_seas,1980,"Tetrapturus pfluegeri","Longbill spearfish","Large pelagics (>=90 cm)","Tuna & billfishes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,3.3659903350,15658.176387506279
"Atlantic, Western Central",high_seas,1980,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,56.2668805625,205921.14066599315
"Atlantic, Western Central",high_seas,1980,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Cuba",Industrial,Landings,Reported,longline,Direct human consumption,1.9364106956,5627.193990177234
"Atlantic, Western Central",high_seas,1980,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,49.2761482902,166786.65450686353
"Atlantic, Western Central",high_seas,1980,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,longline,Direct human consumption,62.8644672571,325291.87149961357
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Barbados",Industrial,Discards,Unreported,longline,,1.5648058878
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Barbados",Industrial,Discards,Unreported,unknown by source,,3.5982537764
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Taiwan",Industrial,Discards,Unreported,longline,,1151.1793742092
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Cuba",Industrial,Discards,Unreported,longline,,0.0000664305
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Discards,Unreported,longline,,846.6298024293
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Aruba (Netherlands)",Industrial,Discards,Unreported,unknown by source,,0.0382463499
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Panama",Industrial,Discards,Unreported,longline,,123.0747843107
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Trinidad & Tobago",Industrial,Discards,Unreported,unknown by source,,1.7331395701
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,purse seine,,0.0880400206
"Atlantic, Western Central",high_seas,1981,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Venezuela",Industrial,Discards,Unreported,longline,,214.9173631018
"Atlantic, Western Central",high_seas,1981,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,21.1686451097,38633.41238453535
"Atlantic, Western Central",high_seas,1981,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,1.2125053287,1983.758143240054
"Atlantic, Western Central",high_seas,1981,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Panama",Industrial,Landings,Reported,pole and line,Direct human consumption,4.4872218569,123.84474686652041
"Atlantic, Western Central",high_seas,1981,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Panama",Industrial,Landings,Reported,longline,Direct human consumption,0.1285393262,3.5476116020935535
"Atlantic, Western Central",high_seas,1981,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Trinidad & Tobago",Industrial,Landings,Reported,unknown by source,Direct human consumption,33.0189139957,783.1108191350398
"Atlantic, Western Central",high_seas,1981,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,150.3074521881,393482.51401801483
"Atlantic, Western Central",high_seas,1981,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,139.4573372770,313013.80646363355
"Atlantic, Western Central",high_seas,1981,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,longline,Fishmeal and fish oil,0.0697984671,3.044959713303426
"Atlantic, Western Central",high_seas,1981,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,longline,Other,0.0697984671,3.044959713303426
"Atlantic, Western Central",high_seas,1981,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Reported,pole and line,Direct human consumption,35.5004221411,71431.64190488386
"Atlantic, Western Central",high_seas,1981,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,128.9740107145,259513.12104893592
"Atlantic, Western Central",high_seas,1981,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Panama",Industrial,Landings,Reported,pole and line,Direct human consumption,57.4493205038,120280.14865646877
"Atlantic, Western Central",high_seas,1981,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Panama",Industrial,Landings,Reported,longline,Direct human consumption,19.8650060055,41590.846583622224
"Atlantic, Western Central",high_seas,1981,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,6.1121685821,20011.160479678252
"Atlantic, Western Central",high_seas,1981,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Cuba",Industrial,Landings,Reported,longline,Direct human consumption,0.1227434835,327.6402851026366
"Atlantic, Western Central",high_seas,1981,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,6.9008972865,20254.312959102197
