area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Discards,Unreported,shrimp trawl,,1.9545609720
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Discards,Unreported,beam trawl,,1.3485577762
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Discards,Unreported,otter trawl,,0.0718251863
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Discards,Unreported,other,,0.0207494983
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Discards,Unreported,pots or traps,,0.0102151376
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0911974267,69.31056299846269
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,shrimp trawl,Direct human consumption,0.8805382120,669.2140496495073
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,shrimp trawl,Fishmeal and fish oil,0.0004407098,5.0158607632813545e-06
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,shrimp trawl,Other,0.0004407098,5.0158607632813545e-06
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,beam trawl,Direct human consumption,45.0888930515,34267.815184779785
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,beam trawl,Fishmeal and fish oil,0.0225670135,0.00025684247023614534
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,beam trawl,Other,0.0225670135,0.00025684247023614534
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,otter trawl,Direct human consumption,2.4014678510,1825.1292263168277
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,otter trawl,Fishmeal and fish oil,0.0012019359,1.367962026349456e-05
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,otter trawl,Other,0.0012019359,1.367962026349456e-05
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,other,Direct human consumption,0.6937573792,527.2595542693078
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,other,Fishmeal and fish oil,0.0003472259,3.9518902983428785e-06
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,other,Other,0.0003472259,3.9518902983428785e-06
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.3415420944,259.57393440950534
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,pots or traps,Fishmeal and fish oil,0.0001709420,1.9455459930303434e-06
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belgium",Industrial,Landings,Reported,pots or traps,Other,0.0001709420,1.9455459930303434e-06
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Discards,Unreported,bottom trawl,,10.9439419973
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Discards,Unreported,longline,,13.6523380310
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Discards,Unreported,purse seine,,5.8391377862
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Discards,Unreported,gillnet,,9.1878588475
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,bottom trawl,Direct human consumption,15.4084312362,11708.389856014108
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.1733054638,0.0018552651451548261
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,bottom trawl,Other,0.1733054638,0.0018552651451548261
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,longline,Direct human consumption,6.9427163233,5275.555189681837
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,purse seine,Direct human consumption,6.5254013945,4958.450495239682
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0733940852,0.0007856964527935197
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,purse seine,Other,0.0733940852,0.0007856964527935197
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,gillnet,Direct human consumption,15.4084312362,11708.389856014108
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,gillnet,Fishmeal and fish oil,0.1733054638,0.0018552651451548261
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","France",Industrial,Landings,Reported,gillnet,Other,0.1733054638,0.0018552651451548261
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Germany",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0823553008,61.85513182239586
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Germany",Industrial,Landings,Reported,unknown class,Direct human consumption,0.0210901650,15.840327467395532
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Discards,Unreported,bottom trawl,,0.2466359919
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Discards,Unreported,shrimp trawl,,0.0004903783
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Discards,Unreported,pelagic trawl,,0.1435013053
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Discards,Unreported,purse seine,,0.0011806232
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Discards,Unreported,other,,0.7104107634
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Discards,Unreported,unknown class,,2.3813895141
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0208209588,0.0017584837126197793
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Landings,Reported,other,Direct human consumption,0.0332484461,0.0028080767796710023
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Landings,Reported,unknown class,Direct human consumption,0.0039224727,0.00033128178305341676
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Landings,Unreported,bottom trawl,Direct human consumption,0.0019118756,0.0001614720117094304
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Landings,Unreported,other,Direct human consumption,0.0028933129,0.0002443616386274536
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Ireland",Industrial,Landings,Unreported,unknown class,Direct human consumption,0.0005883709,4.96922670357256e-05
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Norway",Industrial,Discards,Unreported,bottom trawl,,0.2318817360
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Norway",Industrial,Discards,Unreported,longline,,43.2617772437
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Norway",Industrial,Discards,Unreported,purse seine,,0.0006614551
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Norway",Industrial,Discards,Unreported,gillnet,,0.1790230110
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Norway",Industrial,Discards,Unreported,other,,0.2107352131
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Norway",Industrial,Landings,Reported,bottom trawl,Direct human consumption,6.1521886493,3916.6145627704263
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Norway",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0038625634,3.808063444875255e-05
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Norway",Industrial,Landings,Reported,bottom trawl,Other,0.0053197277,5.244667376464021e-05
"Atlantic, Northeast",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Norway",Industrial,Landings,Reported,pelagic trawl,Direct human consumption,0.0141576803,9.013081391805917
