"X","Y","region"
-79.289767771565,28.0055009253281,"FLK"
-79.3038826589572,27.977583285441,"FLK"
-79.3126237490861,27.9585452888348,"FLK"
-79.3243335453562,27.9300340604244,"FLK"
-79.3586921180465,27.8541458937184,"FLK"
-79.3837202496895,27.8039307633946,"FLK"
-79.3948240072218,27.7811917454032,"FLK"
-79.3976471257139,27.7759448469778,"FLK"
-79.4292086080903,27.7052085167604,"FLK"
-79.4376010688339,27.6883450071169,"FLK"
-79.4617872740631,27.6260881146754,"FLK"
-79.4867517876646,27.5696012401056,"FLK"
-79.4950117881633,27.5494111912742,"FLK"
-79.5038772239542,27.5233573585559,"FLK"
-79.5324484740176,27.4257879132824,"FLK"
-79.5516401602649,27.3577969425755,"FLK"
-79.5692777883389,27.2903165718528,"FLK"
-79.5693949511155,27.2895822097517,"FLK"
-79.575185960963,27.2503197913259,"FLK"
-79.581383473368,27.1996653844505,"FLK"
-79.5883739036321,27.1153801129024,"FLK"
-79.5892227242488,27.0876251082127,"FLK"
-79.5888733924928,27.036501444087,"FLK"
-79.5885958032534,27.0221336790266,"FLK"
-79.5878111060972,27.0115983092151,"FLK"
-79.5828567589319,26.9657473297762,"FLK"
-79.5787773846682,26.9322491115076,"FLK"
-79.5765297783262,26.9181646301942,"FLK"
-79.5739436914477,26.9044842781277,"FLK"
-79.5736695780881,26.9008964346234,"FLK"
-79.5711576133327,26.8682942648692,"FLK"
-79.5665648826628,26.8205789908286,"FLK"
-79.5672287909754,26.7798274452808,"FLK"
-79.5666681302295,26.7365941629906,"FLK"
-79.566815051573,26.7351119624477,"FLK"
-79.5671726310117,26.7181213273382,"FLK"
-79.5672371609658,26.7020002620029,"FLK"
-79.5673887998952,26.6964191835052,"FLK"
-79.5674066425009,26.6862643273789,"FLK"
-79.5675352474763,26.676108006677,"FLK"
-79.5677746148211,26.6659502213994,"FLK"
-79.5681247445357,26.6557909715461,"FLK"
-79.5685856366197,26.645630257117,"FLK"
-79.5691446154718,26.6356934095684,"FLK"
-79.569149946563,26.6354681752265,"FLK"
-79.5691600725452,26.6351748975071,"FLK"
-79.5691622524804,26.6350827979748,"FLK"
-79.5690191106625,26.6278253149919,"FLK"
-79.5689423848706,26.6253162995499,"FLK"
-79.5687483522912,26.6154783197619,"FLK"
-79.5687387517303,26.6151643719272,"FLK"
-79.5685385419047,26.6050123990391,"FLK"
-79.5684485261961,26.5948589690892,"FLK"
-79.5684687046045,26.5847040820773,"FLK"
-79.5685759753923,26.5763474208464,"FLK"
-79.5685795615976,26.5745479960515,"FLK"
-79.5687099364577,26.5643916519469,"FLK"
-79.5689504477592,26.5542338515431,"FLK"
-79.5693010955018,26.5440745948393,"FLK"
-79.5696103259839,26.5372557796786,"FLK"
-79.5697256842973,26.5339143604379,"FLK"
-79.5701864254231,26.5237536480049,"FLK"
-79.5704487606524,26.5190827583227,"FLK"
-79.5706978113287,26.5135922659119,"FLK"
-79.5712685597495,26.5034300988875,"FLK"
-79.571949162992,26.4932664792873,"FLK"
-79.5721498782266,26.4906853368606,"FLK"
-79.5725767289745,26.4831035609822,"FLK"
-79.5732583465282,26.4729399279703,"FLK"
-79.5740494549411,26.4627748471954,"FLK"
-79.5749500542128,26.4526083186576,"FLK"
-79.5759601443436,26.4424403423568,"FLK"
-79.5770797253333,26.4322709182933,"FLK"
-79.5778597105278,26.4258163489796,"FLK"
-79.5780338533754,26.4221036819615,"FLK"
-79.5786183700811,26.4119413328831,"FLK"
-79.5788792271284,26.4081123910495,"FLK"
-79.5792435994177,26.4017784454747,"FLK"
-79.5799359557451,26.3916146704673,"FLK"
-79.5804908235565,26.3845651600267,"FLK"
-79.5807030773067,26.381449906863,"FLK"
-79.5812579027032,26.3744003932228,"FLK"
-79.5814701987887,26.3712851432597,"FLK"
-79.5815862463183,26.3698105508389,"FLK"
-79.5816568933001,26.3683110025759,"FLK"
-79.5819199461225,26.3611245761941,"FLK"
-79.5820600108455,26.3581510507878,"FLK"
-79.5823230881243,26.3509646253763,"FLK"
-79.5824631284179,26.3479910990007,"FLK"
-79.5827262300992,26.3408046745585,"FLK"
-79.5828662460173,26.337831147217,"FLK"
-79.5831293720468,26.3306447237413,"FLK"
-79.5832693636435,26.3276711954363,"FLK"
-79.5833519020325,26.3254171387901,"FLK"
-79.5834295646949,26.3204861341899,"FLK"
-79.5836956245927,26.3103279959651,"FLK"
-79.5840677771655,26.3001684549104,"FLK"
-79.5844162403197,26.2927649008334,"FLK"
-79.5845172723931,26.2900078911786,"FLK"
-79.5849955400404,26.2798469469979,"FLK"
-79.5855797735211,26.2696846016647,"FLK"
-79.5862699728352,26.2595208551788,"FLK"
-79.5870661379829,26.2493557075404,"FLK"
-79.5879682689638,26.2391891587491,"FLK"
-79.5881386323234,26.2374708256621,"FLK"
-79.5883667346165,26.2290292697651,"FLK"
-79.5887460867217,26.2188696335133,"FLK"
-79.5892303012433,26.2087086106991,"FLK"
-79.5897371094117,26.1999654538238,"FLK"
-79.5898053647442,26.1985463866175,"FLK"
-79.5901736358987,26.1922400030096,"FLK"
-79.5918829775747,26.1880098543838,"FLK"
-79.5959015043136,26.1783522059625,"FLK"
-79.6000093395128,26.1687606393352,"FLK"
-79.604206483172,26.1592351545024,"FLK"
-79.6084929352913,26.1497757514636,"FLK"
-79.6128686958706,26.1403824302191,"FLK"
-79.6173337649097,26.1310551907695,"FLK"
-79.6175901228581,26.1305338963936,"FLK"
-79.6212187113412,26.1212987025917,"FLK"
-79.625156500209,26.1115813139906,"FLK"
-79.6291870601296,26.1019325692521,"FLK"
-79.6296068681938,26.1009571919104,"FLK"
-79.6332270284055,26.0922907860145,"FLK"
-79.637086681469,26.0833245980981,"FLK"
-79.6409611121541,26.0724224252046,"FLK"
-79.6423664626506,26.0684679412211,"FLK"
-79.6470205193741,26.0558122395556,"FLK"
-79.6607219832628,26.0172612846895,"FLK"
-79.6625742018317,26.0110326264465,"FLK"
-79.6656373604814,26.0011410599628,"FLK"
-79.6686355880514,25.9918332511799,"FLK"
-79.668781852305,25.9913608593997,"FLK"
-79.6687978177383,25.9913023693858,"FLK"
-79.6716514681743,25.9812969478618,"FLK"
-79.6751867200104,25.9694178897584,"FLK"
-79.6759197738958,25.9670543696334,"FLK"
-79.6767602871843,25.9642299657278,"FLK"
-79.6784499800153,25.9583206189984,"FLK"
-79.6799929427034,25.9531510904123,"FLK"
-79.6812584484073,25.9483090786164,"FLK"
-79.6826310515495,25.943295930985,"FLK"
-79.6839531774961,25.9382367719725,"FLK"
-79.6905776957367,25.9140457620242,"FLK"
-79.6925951198497,25.9063216057031,"FLK"
-79.6958106301275,25.8878883741291,"FLK"
-79.6989356660868,25.8686135547146,"FLK"
-79.7039335079789,25.8352393899072,"FLK"
-79.7049047446273,25.8292414213868,"FLK"
-79.7118824711782,25.7779607990963,"FLK"
-79.7125910851976,25.7717062179788,"FLK"
-79.7127637961119,25.7705325015743,"FLK"
-79.7147682842286,25.7565935881238,"FLK"
-79.718430884777,25.7271780725104,"FLK"
-79.7187088895032,25.7250055847404,"FLK"
-79.7193097310589,25.7219620109389,"FLK"
-79.7193735163743,25.7214570946697,"FLK"
-79.7201406776497,25.7157698189226,"FLK"
-79.7209557871794,25.7100882250921,"FLK"
-79.7218188359702,25.7044123122789,"FLK"
-79.7227298195251,25.6987420813825,"FLK"
-79.7236887297504,25.6930775342012,"FLK"
-79.7246955594518,25.6874186716349,"FLK"
-79.7312006993525,25.6525483001644,"FLK"
-79.7312976804429,25.6520305316842,"FLK"
-79.7313950644303,25.651512780291,"FLK"
-79.7314928495148,25.6509950441865,"FLK"
-79.7315910365967,25.6504773251692,"FLK"
-79.7316896256752,25.6499596223392,"FLK"
-79.7317886158516,25.6494419356976,"FLK"
-79.7318880089239,25.6489242652432,"FLK"
-79.7319878030941,25.648406610977,"FLK"
-79.7320879992613,25.6478889737975,"FLK"
-79.7321885965262,25.6473713528059,"FLK"
-79.7352761031092,25.6315474243747,"FLK"
-79.7375496899655,25.5932882986165,"FLK"
-79.7401550789931,25.5608105302823,"FLK"
-79.7386180629728,25.547403047813,"FLK"
-79.7384320220197,25.5457459507154,"FLK"
-79.7382498292658,25.5440882420792,"FLK"
-79.7380714838114,25.5424299201053,"FLK"
-79.7378969856568,25.5407709856932,"FLK"
-79.7377263339028,25.5391114379429,"FLK"
-79.7375595294483,25.5374512786538,"FLK"
-79.7373965713943,25.5357905060276,"FLK"
-79.7372374597404,25.5341291209626,"FLK"
-79.7370821944873,25.5324671234596,"FLK"
-79.7369307747352,25.5308045126185,"FLK"
-79.7313777623734,25.4682031915244,"FLK"
-79.7295241184429,25.450617287958,"FLK"
-79.7277168723353,25.4392959943152,"FLK"
-79.7275271630477,25.4380954515442,"FLK"
-79.7273392721894,25.4368942162955,"FLK"
-79.7271531997598,25.4356922894679,"FLK"
-79.7269689448604,25.4344896692634,"FLK"
-79.7267865083902,25.4332863574799,"FLK"
-79.726605890349,25.4320823532184,"FLK"
-79.726427089838,25.4308776564793,"FLK"
-79.7262501068565,25.429672268161,"FLK"
-79.7260749423041,25.4284661864659,"FLK"
-79.725901595282,25.4272594131919,"FLK"
-79.7244935807138,25.4173474462282,"FLK"
-79.7234413784166,25.4093584654214,"FLK"
-79.722467419835,25.4013386000968,"FLK"
-79.7215716914801,25.3932878421608,"FLK"
-79.720754185257,25.3852061862169,"FLK"
-79.7200148876764,25.3770936232725,"FLK"
-79.7193537897451,25.368950146133,"FLK"
-79.7187708815705,25.3607757476033,"FLK"
-79.7182661514614,25.3525704195896,"FLK"
-79.7178395895251,25.3443341548978,"FLK"
-79.7174911849697,25.3360669454338,"FLK"
-79.7167550871771,25.3134638428825,"FLK"
-79.7149001005588,25.2897260513167,"FLK"
-79.7133175644535,25.2765077493336,"FLK"
-79.7120055300306,25.2641515410613,"FLK"
-79.7108511071924,25.2517147238556,"FLK"
-79.7098542725562,25.2391972671408,"FLK"
-79.7092935110862,25.2307799365452,"FLK"
-79.7089963094316,25.2266086012064,"FLK"
-79.708257620692,25.2139586114014,"FLK"
-79.7081131374107,25.2107973253366,"FLK"
-79.7090257415442,25.2001564992234,"FLK"
-79.7107241175234,25.1836593086308,"FLK"
-79.7127121498455,25.1670889429009,"FLK"
-79.7140738844016,25.1571383419616,"FLK"
-79.7158428841414,25.1504429864553,"FLK"
-79.7161272785508,25.1494781299122,"FLK"
-79.7218128689685,25.1232719493414,"FLK"
-79.7249668345513,25.1104775931667,"FLK"
-79.7609956812053,25.0599288251559,"FLK"
-79.7869798938066,25.03013501422,"FLK"
-79.8079941587029,25.0016936631324,"FLK"
-79.8114298243265,24.9965102712325,"FLK"
-79.8223684681299,24.9769403301327,"FLK"
-79.8598950789944,24.9233269225998,"FLK"
-79.8703795273929,24.9079508439568,"FLK"
-79.8810847089917,24.8920618549712,"FLK"
-79.9092751330406,24.8582076436683,"FLK"
-79.9413786125323,24.8179570726613,"FLK"
-79.9462567763288,24.8117372219957,"FLK"
-79.9626468073038,24.7946893945004,"FLK"
-79.9690809241449,24.7878390552286,"FLK"
-79.9848301431959,24.7703626450207,"FLK"
-80.0138832895818,24.7331478147203,"FLK"
-80.0594213472169,24.6855454775422,"FLK"
-80.0836934350037,24.6561080769267,"FLK"
-80.1580171518694,24.582279560054,"FLK"
-80.2048179080196,24.5439526038302,"FLK"
-80.214352059,24.5405095358869,"FLK"
-80.2248664602187,24.5359273209896,"FLK"
-80.2690975412179,24.5188492528911,"FLK"
-80.2733562510896,24.5167080453404,"FLK"
-80.2901148368298,24.5091797224669,"FLK"
-80.3211588663883,24.4944767620934,"FLK"
-80.3694103153335,24.4742057077278,"FLK"
-80.4181946251815,24.4562643246395,"FLK"
-80.4626348992807,24.4421974286687,"FLK"
-80.4674418052946,24.4403475421061,"FLK"
-80.4741161229602,24.4381299857107,"FLK"
-80.5159295663958,24.4211009630396,"FLK"
-80.6597269878098,24.3703717451602,"FLK"
-80.7274627641948,24.336898304114,"FLK"
-80.7294052746331,24.3359432232017,"FLK"
-80.7313505540842,24.334991760262,"FLK"
-80.7332986034473,24.3340439161942,"FLK"
-80.7352494209235,24.3330996909984,"FLK"
-80.7372030074123,24.3321590837752,"FLK"
-80.7391593629137,24.3312220954238,"FLK"
-80.7411184865286,24.3302887268438,"FLK"
-80.7430803791555,24.3293589762361,"FLK"
-80.7446920928655,24.3285992226765,"FLK"
-80.7450198004231,24.3283999194213,"FLK"
-80.7468466877239,24.3272940635705,"FLK"
-80.8065642859126,24.2913102765486,"FLK"
-80.8484147139675,24.2619699325669,"FLK"
-80.8486716727589,24.2617898775016,"FLK"
-80.8489287061944,24.2616098826907,"FLK"
-80.8491858160721,24.261429949933,"FLK"
-80.8494430005936,24.2612500765302,"FLK"
-80.8497002597589,24.2610702651811,"FLK"
-80.8499575953661,24.2608905140864,"FLK"
-80.8502150056177,24.2607108232464,"FLK"
-80.8504724905126,24.2605311944594,"FLK"
-80.85073005185,24.2603516259274,"FLK"
-80.850987687831,24.2601721176499,"FLK"
-80.8685216204759,24.2479624718909,"FLK"
-80.8690604537765,24.2475877270925,"FLK"
-80.8695996225239,24.2472132323051,"FLK"
-80.8701391285175,24.2468389893284,"FLK"
-80.8706789717568,24.2464649972623,"FLK"
