,UnRep,UScom,Intl,HireFLK,HireNCFL,HireNNC,HireVBM,RecFLK,RecNCFL,RecNNC,RecVBM,HireFLK_D,HireNCFL_D,HireNNC_D,HireVBM_D,RecFLK_D,RecNCFL_D,RecNNC_D,RecVBM_D
2010,2796251.309,748426.404,9413912.325,557519.1275,535718.1376,1386627.659,120050.4104,4105154.785,3163745.641,1110479.73,717410.858,17555.11334,12671.84756,517.6763226,68.91564126,355894.0531,121654.25,2436.989312,30097.2128
2011,2753290.283,797649.376,9947004.18,741543.0185,275439.0103,1576663.336,17844.72897,5901738.786,1651096.449,2063315.642,2626410.052,37987.69469,8371.883813,1497.019468,0,432754.0376,49155.19419,15817.24166,184130.485
2012,2685377.84,924382.842,9112923.457,869451.458,615870.9824,1236372.102,21887.31776,5873633.691,2867599.086,1059484.037,1041694.282,24504.17463,6612.58627,604.7875489,38.54532098,267631.2816,200332.9639,1545.471866,0
2013,2763205.237,803435.078,11800914.44,616503.3562,394404.9313,640715.7286,16064.27009,10152548.77,2064256.6,563799.9865,364492.2862,35826.59563,7631.983046,0,0,698237.5346,110848.0795,20590.10991,0
2014,2816498.127,1375810.86,11730226.81,902862.6522,209397.9799,916956.1423,56738.44019,9997805.202,1269802.57,1289704.416,2040329.55,44740.56197,5827.788056,470.6721007,295.5127093,872466.9155,15185.34919,26220.53171,3987.820124
2015,2794661.979,1190441.574,12429787.87,1687811.348,196037.5926,1365211.552,277877.4059,12024592.19,1551103.181,3505194.743,4645796.249,59359.47541,4849.728383,6792.75907,1769.134551,968114.5513,25246.71383,53147.98732,177601.2441
2016,2778492.894,1004346.302,12690293.77,896998.0303,454945.8045,1245564.176,195851.2444,5202491.961,4364799.118,1704661.669,2186126.672,32805.33813,7742.568768,318.4828139,498.3317624,199905.4569,66003.47712,2643.554267,52190.34113
2017,2762926.313,685654.942,13195572.78,1225461.113,162188.4911,833177.3004,31178.5533,5432536.483,2303094.599,801324.1512,1826822.849,71663.95996,3827.966147,1676.894,778.7165069,279816.0815,39576.32295,9823.804068,57919.40628
2018,2732350.575,542883.866,12388490.17,405276.765,103826.7752,1467833.588,72214.42638,7793456.067,2608238.667,1347724.203,2871124.41,23072.4464,4520.169606,2831.870895,74.29467734,436503.4967,111947.2305,97243.99049,29354.40037
2019,2743182.357,729162.77,11756820.28,1245865.898,252349.4129,995754.676,93641.92147,4294202.373,2128053.369,1687239.863,1440420.94,52541.63641,10951.62099,503.6643306,721.377959,371574.8274,125358.2087,42492.61192,99839.75684
2020,2743182.357,318501.344,11756820.28,922190.8647,225285.4332,669838.2587,51692.69122,2840203.567,2043599.081,1089245.171,689099.4705,37628.34446,8966.635304,199.9455113,1503.648581,163076.4371,74391.24053,63799.8083,26122.91438
2021,2743182.357,245533.02,11756820.28,1244033.197,144735.1804,871650.6117,101003.0341,3682159.807,1398507.713,596672.48,1082278.943,56806.94231,6042.906091,763.5546022,242.2121491,440712.6452,31594.98345,9406.179578,40521.70344
2022,2743182.357,229638.168,11756820.28,632177.7702,92908.65278,426925.6564,18518.1835,3874667.005,2745184.889,211394.5371,1207268.192,34916.66018,3843.501282,514.3655981,76.05070337,435364.7743,7301.284796,0,46512.73216
